name,position,country,season,market value,transfer fee,left,joined,old club league,new club league,old club league type,new club league type,age,contract remaining
Stefano Sturaro,Central Midfield,Italy,19/20,€10.00m,€16.50m,Juventus FC,Genoa CFC,Serie A,Serie A,First Tier,First Tier,26 years 03 months 22 days,01 Years 11 Months 30 Days
Philip Billing,Central Midfield,Denmark,19/20,€7.00m,€16.50m,Huddersfield Town,AFC Bournemouth,Championship,Premier League,Second Tier,First Tier,23 years 01 month 18 days,11 Months 01 Days
Arnaut Danjuma,Left Winger,Netherlands,19/20,€12.00m,€16.46m,Club Brugge KV,AFC Bournemouth,Jupiler Pro League,Premier League,First Tier,First Tier,22 years 06 months 01 day,02 Years 10 Months 29 Days
Nahitan Nández,Central Midfield,Uruguay,19/20,€18.00m,€16.20m,CA Boca Juniors,Cagliari Calcio,Superliga,Serie A,First Tier,First Tier,23 years 07 months 12 days,10 Months 21 Days
Eljif Elmas,Central Midfield,North Macedonia,19/20,€10.00m,€16.20m,Fenerbahce,SSC Napoli,Süper Lig,Serie A,First Tier,First Tier,19 years 10 months 00 days,02 Years 11 Months 06 Days
Giovani Lo Celso,Central Midfield,Argentina,19/20,€50.00m,Loan fee:€16.00m,Real Betis Balompié,Tottenham Hotspur,LaLiga,Premier League,First Tier,First Tier,23 years 03 months 30 days,03 Years 10 Months 22 Days
Stephan El Shaarawy,Left Winger,Italy,19/20,€30.00m,€16.00m,AS Roma,Shanghai Greenland Shenhua,Serie A,Chinese Super League,First Tier,First Tier,26 years 08 months 11 days,11 Months 22 Days
Quincy Promes,Left Winger,Netherlands,19/20,€18.00m,€15.70m,Sevilla FC,Ajax Amsterdam,LaLiga,Eredivisie,First Tier,First Tier,27 years 05 months 27 days,03 Years 11 Months 30 Days
Moussa Djenepo,Left Winger,Mali,19/20,€12.00m,€15.70m,Standard Liège,Southampton FC,Jupiler Pro League,Premier League,First Tier,First Tier,21 years 16 days,
Neal Maupay,Centre-Forward,France,19/20,€12.00m,€15.56m,Brentford FC,Brighton & Hove Albion,Championship,Premier League,Second Tier,First Tier,22 years 11 months 22 days,01 Years 10 Months 25 Days
Leandro Trossard,Left Winger,Belgium,19/20,€16.00m,€15.56m,KRC Genk,Brighton & Hove Albion,Jupiler Pro League,Premier League,First Tier,First Tier,24 years 06 months 27 days,01 Years 11 Months 30 Days
Matt Targett,Left-Back,England,19/20,€7.00m,€15.50m,Southampton FC,Aston Villa,Premier League,Premier League,First Tier,First Tier,23 years 09 months 13 days,02 Years 11 Months 30 Days
Darwin Núñez,Centre-Forward,Uruguay,19/20,€750k,€15.25m,CA Peñarol,UD Almería,Primera Division Clausura,LaLiga2,First Tier,Second Tier,20 years 02 months 05 days,
Manuel Lazzari,Right-Back,Italy,19/20,€18.00m,€15.00m,SPAL,SS Lazio,Serie A,Serie A,First Tier,First Tier,25 years 07 months 13 days,03 Years 11 Months 18 Days
Ozan Kabak,Centre-Back,Turkey,19/20,€15.00m,€15.00m,VfB Stuttgart,FC Schalke 04,2. Bundesliga,Bundesliga,Second Tier,First Tier,19 years 03 months 06 days,04 Years 11 Months 30 Days
Riccardo Orsolini,Right Winger,Italy,19/20,€15.00m,€15.00m,Juventus FC,Bologna FC 1909,Serie A,Serie A,First Tier,First Tier,22 years 05 months 07 days,02 Years 11 Months 30 Days
Lucas Ocampos,Left Winger,Argentina,19/20,€15.00m,€15.00m,Olympique Marseille,Sevilla FC,Ligue 1,LaLiga,First Tier,First Tier,24 years 11 months 22 days,11 Months 27 Days
Diego Carlos,Centre-Back,Brazil,19/20,€13.00m,€15.00m,FC Nantes,Sevilla FC,Ligue 1,LaLiga,First Tier,First Tier,26 years 03 months 16 days,02 Years 11 Months 30 Days
M'Baye Niang,Centre-Forward,Senegal,19/20,€12.00m,€15.00m,Torino FC,Stade Rennais FC,Serie A,Ligue 1,First Tier,First Tier,24 years 06 months 12 days,02 Years 11 Months 30 Days
Moussa Diaby,Right Winger,France,19/20,€12.00m,€15.00m,Paris Saint-Germain,Bayer 04 Leverkusen,Ligue 1,Bundesliga,First Tier,First Tier,19 years 11 months 24 days,11 Months 30 Days
Keylor Navas,Goalkeeper,Costa Rica,19/20,€10.00m,€15.00m,Real Madrid,Paris Saint-Germain,LaLiga,Ligue 1,First Tier,First Tier,32 years 08 months 18 days,09 Months 28 Days
Alexander Isak,Centre-Forward,Sweden,19/20,€8.00m,€15.00m,Borussia Dortmund,Real Sociedad,Bundesliga,LaLiga,First Tier,First Tier,19 years 09 months 10 days,02 Years 11 Months 30 Days
Edson Álvarez,Defensive Midfield,Mexico,19/20,€7.50m,€15.00m,CF América,Ajax Amsterdam,Liga MX Clausura,Eredivisie,First Tier,First Tier,21 years 08 months 28 days,02 Years 11 Months 08 Days
Youssouf Fofana,Central Midfield,France,19/20,€6.00m,€15.00m,RC Strasbourg Alsace,AS Monaco,Ligue 1,Ligue 1,First Tier,First Tier,21 years 19 days,03 Years 05 Months 01 Days
Lloyd Kelly,Centre-Back,England,19/20,€9.00m,€14.80m,Bristol City,AFC Bournemouth,Championship,Premier League,Second Tier,First Tier,20 years 08 months 25 days,01 Years 11 Months 30 Days
Maxi Gómez,Centre-Forward,Uruguay,19/20,€40.00m,€14.50m,Celta de Vigo,Valencia CF,LaLiga,LaLiga,First Tier,First Tier,22 years 11 months 00 days,02 Years 11 Months 16 Days
Jakub Jankto,Left Midfield,Czech Republic,19/20,€12.00m,€14.50m,Udinese Calcio,UC Sampdoria,Serie A,Serie A,First Tier,First Tier,23 years 05 months 12 days,01 Years 11 Months 30 Days
Amir Rrahmani,Centre-Back,Kosovo,19/20,€6.00m,€14.20m,Hellas Verona,SSC Napoli,Serie A,Serie A,First Tier,First Tier,25 years 10 months 27 days,03 Years 05 Months 10 Days
Diadié Samassékou,Defensive Midfield,Mali,19/20,€20.00m,€14.00m,Red Bull Salzburg,TSG 1899 Hoffenheim,Bundesliga,Bundesliga,First Tier,First Tier,23 years 07 months 04 days,01 Years 10 Months 15 Days
Darío Benedetto,Centre-Forward,Argentina,19/20,€15.00m,€14.00m,CA Boca Juniors,Olympique Marseille,Superliga,Ligue 1,First Tier,First Tier,29 years 02 months 19 days,01 Years 10 Months 25 Days
Joan Jordán,Central Midfield,Spain,19/20,€12.00m,€14.00m,SD Eibar,Sevilla FC,LaLiga,LaLiga,First Tier,First Tier,24 years 11 months 25 days,11 Months 30 Days
Manuel Locatelli,Defensive Midfield,Italy,19/20,€12.00m,€14.00m,AC Milan,US Sassuolo,Serie A,Serie A,First Tier,First Tier,21 years 05 months 23 days,11 Months 30 Days
Djibril Sow,Central Midfield,Switzerland,19/20,€9.00m,€14.00m,BSC Young Boys,Eintracht Frankfurt,Super League,Bundesliga,First Tier,First Tier,22 years 04 months 25 days,01 Years 11 Months 30 Days
Leander Dendoncker,Defensive Midfield,Belgium,19/20,€18.00m,€13.80m,RSC Anderlecht,Wolverhampton Wanderers,Jupiler Pro League,Premier League,First Tier,First Tier,24 years 02 months 16 days,01 Years 11 Months 30 Days
Ruslan Malinovskyi,Attacking Midfield,Ukraine,19/20,€12.50m,€13.60m,KRC Genk,Atalanta BC,Jupiler Pro League,Serie A,First Tier,First Tier,26 years 02 months 12 days,02 Years 11 Months 14 Days
Benjamin Lecomte,Goalkeeper,France,19/20,€17.00m,€13.50m,Montpellier HSC,AS Monaco,Ligue 1,Ligue 1,First Tier,First Tier,28 years 02 months 19 days,03 Years 11 Months 15 Days
Henry Onyekuru,Left Winger,Nigeria,19/20,€13.00m,€13.50m,Everton FC,AS Monaco,Premier League,Ligue 1,First Tier,First Tier,22 years 02 months 07 days,02 Years 10 Months 18 Days
Douglas Santos,Left-Back,Brazil,19/20,€10.00m,€13.50m,Hamburger SV,Zenit St. Petersburg,2. Bundesliga,Premier Liga,Second Tier,First Tier,25 years 03 months 12 days,01 Years 11 Months 26 Days
Jeison Murillo,Centre-Back,Colombia,19/20,€8.00m,€13.30m,Valencia CF,UC Sampdoria,LaLiga,Serie A,First Tier,First Tier,27 years 07 months 18 days,02 Years 05 Months 16 Days
Ezri Konsa,Centre-Back,England,19/20,€3.50m,€13.30m,Brentford FC,Aston Villa,Championship,Premier League,Second Tier,First Tier,21 years 08 months 18 days,01 Years 11 Months 19 Days
Valentin Rongier,Central Midfield,France,19/20,€15.00m,€13.00m,FC Nantes,Olympique Marseille,Ligue 1,Ligue 1,First Tier,First Tier,24 years 08 months 27 days,02 Years 09 Months 27 Days
Gerson,Central Midfield,Brazil,19/20,€13.00m,€13.00m,AS Roma,CR Flamengo,Serie A,Campeonato Brasileiro Série A,First Tier,First Tier,22 years 01 month 22 days,01 Years 11 Months 18 Days
Christopher Nkunku,Second Striker,France,19/20,€12.00m,€13.00m,Paris Saint-Germain,RB Leipzig,Ligue 1,Bundesliga,First Tier,First Tier,21 years 08 months 04 days,11 Months 12 Days
Alexis Claude-Maurice,Attacking Midfield,France,19/20,€7.50m,€13.00m,FC Lorient,OGC Nice,Ligue 2,Ligue 1,Second Tier,First Tier,21 years 02 months 23 days,01 Years 10 Months 01 Days
Denis Suárez,Attacking Midfield,Spain,19/20,€12.00m,€12.90m,FC Barcelona,Celta de Vigo,LaLiga,LaLiga,First Tier,First Tier,25 years 05 months 25 days,01 Years 11 Months 30 Days
Razvan Marin,Central Midfield,Romania,19/20,€13.50m,€12.50m,Standard Liège,Ajax Amsterdam,Jupiler Pro League,Eredivisie,First Tier,First Tier,23 years 01 month 08 days,03 Years 11 Months 30 Days
Stefan Lainer,Right-Back,Austria,19/20,€12.50m,€12.50m,Red Bull Salzburg,Borussia Mönchengladbach,Bundesliga,Bundesliga,First Tier,First Tier,26 years 10 months 04 days,02 Years 11 Months 00 Days
Luuk de Jong,Centre-Forward,Netherlands,19/20,€12.00m,€12.50m,PSV Eindhoven,Sevilla FC,Eredivisie,LaLiga,First Tier,First Tier,28 years 10 months 04 days,01 Years 11 Months 30 Days
Stanley Nsoki,Centre-Back,France,19/20,€8.50m,€12.50m,Paris Saint-Germain,OGC Nice,Ligue 1,Ligue 1,First Tier,First Tier,20 years 04 months 22 days,01 Years 09 Months 30 Days
Isaac Mbenza,Right Winger,Belgium,19/20,€5.00m,€12.50m,Montpellier HSC,Huddersfield Town,Ligue 1,Championship,First Tier,Second Tier,23 years 04 months 01 day,11 Months 21 Days
Erick Pulgar,Defensive Midfield,Chile,19/20,€10.00m,€12.30m,Bologna FC 1909,ACF Fiorentina,Serie A,Serie A,First Tier,First Tier,25 years 06 months 25 days,02 Years 10 Months 21 Days
Duván Zapata,Centre-Forward,Colombia,19/20,€45.00m,€12.00m,UC Sampdoria,Atalanta BC,Serie A,Serie A,First Tier,First Tier,28 years 09 months 16 days,02 Years 05 Months 13 Days
Nicolò Barella,Central Midfield,Italy,19/20,€36.00m,Loan fee:€12.00m,Cagliari Calcio,Inter Milan,Serie A,Serie A,First Tier,First Tier,22 years 05 months 05 days,02 Years 11 Months 18 Days
Shoya Nakajima,Attacking Midfield,Japan,19/20,€25.00m,€12.00m,Al-Duhail SC,FC Porto,Qatar Stars League,Liga NOS,First Tier,First Tier,24 years 10 months 12 days,03 Years 11 Months 25 Days
Andrea Petagna,Centre-Forward,Italy,19/20,€20.00m,€12.00m,Atalanta BC,SPAL,Serie A,Serie A,First Tier,First Tier,24 years 01 day,11 Months 30 Days
Grzegorz Krychowiak,Defensive Midfield,Poland,19/20,€18.00m,€12.00m,Paris Saint-Germain,Lokomotiv Moscow,Ligue 1,Premier Liga,First Tier,First Tier,29 years 05 months 04 days,01 Years 11 Months 27 Days
Angeliño,Left-Back,Spain,19/20,€16.00m,€12.00m,PSV Eindhoven,Manchester City,Eredivisie,Premier League,First Tier,First Tier,22 years 05 months 29 days,03 Years 11 Months 27 Days
Xaver Schlager,Central Midfield,Austria,19/20,€15.00m,€12.00m,Red Bull Salzburg,VfL Wolfsburg,Bundesliga,Bundesliga,First Tier,First Tier,21 years 09 months 03 days,01 Years 11 Months 30 Days
Rémy Cabella,Attacking Midfield,France,19/20,€14.00m,€12.00m,AS Saint-Étienne,FK Krasnodar,Ligue 1,Premier Liga,First Tier,First Tier,29 years 04 months 18 days,02 Years 11 Months 04 Days
Hannes Wolf,Left Winger,Austria,19/20,€12.00m,€12.00m,Red Bull Salzburg,RB Leipzig,Bundesliga,Bundesliga,First Tier,First Tier,20 years 02 months 15 days,11 Months 30 Days
Simone Zaza,Centre-Forward,Italy,19/20,€10.00m,€12.00m,Valencia CF,Torino FC,LaLiga,Serie A,First Tier,First Tier,28 years 06 days,01 Years 11 Months 30 Days
Bruma,Left Winger,Portugal,19/20,€10.00m,€12.00m,RB Leipzig,PSV Eindhoven,Bundesliga,Eredivisie,First Tier,First Tier,24 years 08 months 07 days,02 Years 11 Months 30 Days
Munas Dabbur,Centre-Forward,Israel,19/20,€10.00m,€12.00m,Sevilla FC,TSG 1899 Hoffenheim,LaLiga,Bundesliga,First Tier,First Tier,27 years 07 months 24 days,03 Years 05 Months 23 Days
Pedro Porro,Right-Back,Spain,19/20,€10.00m,€12.00m,Girona FC,Manchester City,LaLiga2,Premier League,Second Tier,First Tier,19 years 10 months 26 days,03 Years 10 Months 22 Days
Timo Baumgartl,Centre-Back,Germany,19/20,€9.00m,€12.00m,VfB Stuttgart,PSV Eindhoven,2. Bundesliga,Eredivisie,Second Tier,First Tier,23 years 04 months 22 days,02 Years 11 Months 04 Days
Odion Ighalo,Centre-Forward,Nigeria,19/20,€6.50m,Loan fee:€12.00m,Shanghai Greenland Shenhua,Manchester United,Chinese Super League,Premier League,First Tier,First Tier,30 years 07 months 15 days,01 Years 11 Months 00 Days
Marvelous Nakamba,Defensive Midfield,Zimbabwe,19/20,€6.50m,€12.00m,Club Brugge KV,Aston Villa,Jupiler Pro League,Premier League,First Tier,First Tier,25 years 06 months 13 days,01 Years 10 Months 29 Days
Tino Kadewere,Centre-Forward,Zimbabwe,19/20,€4.00m,€12.00m,AC Le Havre,Olympique Lyon,Ligue 2,Ligue 1,Second Tier,First Tier,24 years 17 days,02 Years 05 Months 08 Days
Alex Kral,Defensive Midfield,Czech Republic,19/20,€3.50m,€12.00m,SK Slavia Prague,Spartak Moscow,Fortuna Liga,Premier Liga,First Tier,First Tier,21 years 03 months 13 days,03 Years 09 Months 29 Days
Thierry Correia,Right-Back,Portugal,19/20,€400k,€12.00m,Sporting CP,Valencia CF,Liga NOS,LaLiga,First Tier,First Tier,20 years 05 months 24 days,02 Years 09 Months 28 Days
Ivan Cavaleiro,Left Winger,Portugal,19/20,€10.00m,€11.80m,Wolverhampton Wanderers,Fulham FC,Premier League,Championship,First Tier,Second Tier,26 years 02 months 20 days,01 Years 05 Months 23 Days
Zinho Vanheusden,Centre-Back,Belgium,19/20,€10.00m,€11.74m,Inter Milan,Standard Liège,Serie A,Jupiler Pro League,First Tier,First Tier,19 years 11 months 02 days,02 Years 11 Months 30 Days
João Pedro,Centre-Forward,Brazil,19/20,€20.00m,€11.50m,Fluminense Football Club,Watford FC,Campeonato Brasileiro Série A,Premier League,First Tier,First Tier,18 years 03 months 06 days,01 Years 05 Months 29 Days
Albian Ajeti,Centre-Forward,Switzerland,19/20,€7.00m,€11.30m,FC Basel 1893,West Ham United,Super League,Premier League,First Tier,First Tier,22 years 05 months 13 days,02 Years 10 Months 22 Days
Noah Okafor,Centre-Forward,Switzerland,19/20,€8.00m,€11.20m,FC Basel 1893,Red Bull Salzburg,Super League,Bundesliga,First Tier,First Tier,19 years 08 months 07 days,03 Years 04 Months 30 Days
Lys Mousset,Centre-Forward,France,19/20,€3.50m,€11.10m,AFC Bournemouth,Sheffield United,Premier League,Premier League,First Tier,First Tier,23 years 05 months 13 days,11 Months 09 Days
Pedro,Centre-Forward,Brazil,19/20,€18.00m,€11.00m,Fluminense Football Club,ACF Fiorentina,Campeonato Brasileiro Série A,Serie A,First Tier,First Tier,22 years 02 months 13 days,01 Years 10 Months 29 Days
Óliver Torres,Central Midfield,Spain,19/20,€17.00m,€11.00m,FC Porto,Sevilla FC,Liga NOS,LaLiga,First Tier,First Tier,24 years 08 months 05 days,01 Years 11 Months 15 Days
Breel Embolo,Centre-Forward,Switzerland,19/20,€14.00m,€11.00m,FC Schalke 04,Borussia Mönchengladbach,Bundesliga,Bundesliga,First Tier,First Tier,22 years 04 months 17 days,01 Years 11 Months 30 Days
Luciano Vietto,Attacking Midfield,Argentina,19/20,€7.00m,€11.00m,Atlético de Madrid,Sporting CP,LaLiga,Liga NOS,First Tier,First Tier,25 years 06 months 26 days,01 Years 11 Months 30 Days
Jack Clarke,Left Winger,England,19/20,€6.00m,€11.00m,Leeds United,Tottenham Hotspur,Championship,Premier League,Second Tier,First Tier,18 years 07 months 09 days,01 Years 11 Months 28 Days
Pedro Neto,Right Winger,Portugal,19/20,€2.50m,€11.00m,SC Braga,SS Lazio,Liga NOS,Serie A,First Tier,First Tier,19 years 03 months 22 days,11 Months 30 Days
Rodolfo Pizarro,Attacking Midfield,Mexico,19/20,€10.00m,€10.91m,CF Monterrey,Inter Miami CF,Liga MX Clausura,Major League Soccer,First Tier,First Tier,26 years 02 days,03 Years 04 Months 13 Days
Zé Luís,Centre-Forward,Cape Verde,19/20,€8.00m,€10.75m,Spartak Moscow,FC Porto,Premier Liga,Liga NOS,First Tier,First Tier,28 years 05 months 11 days,01 Years 11 Months 25 Days
Ionut Radu,Goalkeeper,Romania,19/20,€15.00m,€10.60m,Genoa CFC,Inter Milan,Serie A,Serie A,First Tier,First Tier,22 years 01 month 14 days,01 Years 11 Months 18 Days
Léo Duarte,Centre-Back,Brazil,19/20,€4.00m,€10.60m,CR Flamengo,AC Milan,Campeonato Brasileiro Série A,Serie A,First Tier,First Tier,23 years 21 days,03 Years 04 Months 24 Days
Ally Samatta,Centre-Forward,Tanzania,19/20,€12.00m,€10.50m,KRC Genk,Aston Villa,Jupiler Pro League,Premier League,First Tier,First Tier,27 years 28 days,01 Years 05 Months 10 Days
Matías Vargas,Left Winger,Argentina,19/20,€11.00m,€10.50m,CA Vélez Sarsfield,RCD Espanyol Barcelona,Superliga,LaLiga,First Tier,First Tier,22 years 02 months 06 days,11 Months 16 Days
Maximilian Wöber,Centre-Back,Austria,19/20,€10.00m,€10.50m,Sevilla FC,Red Bull Salzburg,LaLiga,Bundesliga,First Tier,First Tier,21 years 06 months 09 days,03 Years 10 Months 17 Days
Maximilian Wöber,Centre-Back,Austria,19/20,€10.00m,€10.50m,Ajax Amsterdam,Sevilla FC,Eredivisie,LaLiga,First Tier,First Tier,21 years 04 months 27 days,01 Years 11 Months 30 Days
Denis Vavro,Centre-Back,Slovakia,19/20,€6.00m,€10.50m,FC Copenhagen,SS Lazio,Superligaen Meisterrunde,Serie A,Play-Offs,First Tier,23 years 02 months 24 days,02 Years 11 Months 26 Days
Brian Rodríguez,Left Winger,Uruguay,19/20,€1.00m,€10.45m,CA Peñarol,Los Angeles FC,Primera Division Clausura,Major League Soccer,First Tier,First Tier,19 years 02 months 18 days,
Diego Demme,Defensive Midfield,Germany,19/20,€17.00m,€10.25m,RB Leipzig,SSC Napoli,Bundesliga,Serie A,First Tier,First Tier,28 years 01 month 21 days,01 Years 05 Months 19 Days
Robert Skov,Right Midfield,Denmark,19/20,€13.00m,€10.00m,FC Copenhagen,TSG 1899 Hoffenheim,Superligaen Meisterrunde,Bundesliga,Play-Offs,First Tier,23 years 02 months 09 days,02 Years 11 Months 01 Days
Benito Raman,Centre-Forward,Belgium,19/20,€12.00m,€10.00m,Fortuna Düsseldorf,FC Schalke 04,Bundesliga,Bundesliga,First Tier,First Tier,24 years 07 months 28 days,02 Years 11 Months 25 Days
Rémi Oudin,Right Winger,France,19/20,€11.00m,€10.00m,Stade Reims,FC Girondins Bordeaux,Ligue 1,Ligue 1,First Tier,First Tier,23 years 01 month 22 days,01 Years 05 Months 21 Days
Jay Rodríguez,Centre-Forward,England,19/20,€10.00m,€10.00m,West Bromwich Albion,Burnley FC,Championship,Premier League,Second Tier,First Tier,29 years 11 months 10 days,01 Years 11 Months 21 Days
Portu,Right Winger,Spain,19/20,€10.00m,€10.00m,Girona FC,Real Sociedad,LaLiga2,LaLiga,Second Tier,First Tier,27 years 01 month 10 days,01 Years 11 Months 30 Days
Santiago Ascacíbar,Defensive Midfield,Argentina,19/20,€10.00m,€10.00m,VfB Stuttgart,Hertha BSC,2. Bundesliga,Bundesliga,Second Tier,First Tier,22 years 10 months 07 days,03 Years 05 Months 29 Days
Strahinja Pavlovic,Centre-Back,Serbia,19/20,€8.00m,€10.00m,FK Partizan Belgrade,AS Monaco,Super liga Srbije,Ligue 1,First Tier,First Tier,18 years 07 months 08 days,04 Years 05 Months 29 Days
Mahmoud Trezeguet,Left Winger,Egypt,19/20,€6.00m,€10.00m,Kasimpasa,Aston Villa,Süper Lig,Premier League,First Tier,First Tier,24 years 09 months 23 days,01 Years 11 Months 06 Days
Timothy Weah,Right Winger,United States,19/20,€6.00m,€10.00m,Paris Saint-Germain,LOSC Lille,Ligue 1,Ligue 1,First Tier,First Tier,19 years 04 months 09 days,01 Years 11 Months 30 Days
Josh Brownhill,Central Midfield,England,19/20,€4.50m,€10.00m,Bristol City,Burnley FC,Championship,Premier League,Second Tier,First Tier,24 years 01 month 11 days,01 Years 05 Months 00 Days
Adrián Embarba,Right Winger,Spain,19/20,€4.00m,€10.00m,Rayo Vallecano,RCD Espanyol Barcelona,LaLiga2,LaLiga,Second Tier,First Tier,27 years 08 months 16 days,01 Years 05 Months 07 Days
Eddie Salcedo,Centre-Forward,Italy,19/20,€2.00m,€10.00m,Genoa CFC,Inter Milan,Serie A,Serie A,First Tier,First Tier,17 years 09 months 00 days,11 Months 30 Days
Jean Marcelin,Centre-Back,France,19/20,€1.50m,€10.00m,AJ Auxerre,AS Monaco,Ligue 2,Ligue 1,Second Tier,First Tier,19 years 11 months 18 days,03 Years 05 Months 00 Days
Arthur Zagré,Left-Back,France,19/20,-,€10.00m,Paris Saint-Germain,AS Monaco,Ligue 1,Ligue 1,First Tier,First Tier,17 years 10 months 25 days,01 Years 10 Months 01 Days
Hannibal,Attacking Midfield,Tunisia,19/20,-,€10.00m,AS Monaco Youth,Manchester United U18,-,U18 Premier League,-,Youth league,16 years 06 months 21 days,
Uriel Antuna,Right Winger,Mexico,19/20,€3.20m,€9.90m,Manchester City U23,Deportivo Guadalajara,Premier League 2,Liga MX Clausura,Reserve league,First Tier,22 years 04 months 11 days,02 Years 05 Months 29 Days
Ola Aina,Right-Back,Nigeria,19/20,€10.00m,€9.80m,Chelsea FC,Torino FC,Premier League,Serie A,First Tier,First Tier,22 years 08 months 23 days,01 Years 11 Months 30 Days
Giovanni Di Lorenzo,Right-Back,Italy,19/20,€9.00m,€9.80m,Empoli FC ,SSC Napoli,Serie B,Serie A,Second Tier,First Tier,25 years 10 months 27 days,02 Years 11 Months 30 Days
Álex Moreno,Left-Back,Spain,19/20,€12.00m,€9.70m,Rayo Vallecano,Real Betis Balompié,LaLiga2,LaLiga,Second Tier,First Tier,26 years 02 months 13 days,01 Years 10 Months 09 Days
Fernando,Defensive Midfield,Brazil,19/20,€9.00m,€9.60m,Spartak Moscow,Beijing Guoan,Premier Liga,Chinese Super League,First Tier,First Tier,27 years 11 months 25 days,01 Years 04 Months 02 Days
Fabian Delph,Central Midfield,England,19/20,€15.00m,€9.50m,Manchester City,Everton FC,Premier League,Premier League,First Tier,First Tier,29 years 07 months 24 days,11 Months 15 Days
Kai Havertz,Attacking Midfield,Germany,20/21,€81.00m,€80.00m,Bayer 04 Leverkusen,Chelsea FC,Bundesliga,Premier League,First Tier,First Tier,21 years 02 months 24 days,01 Years 09 Months 26 Days
Arthur Melo,Central Midfield,Brazil,20/21,€56.00m,€76.00m,FC Barcelona,Juventus FC,LaLiga,Serie A,First Tier,First Tier,24 years 20 days,03 Years 09 Months 29 Days
Victor Osimhen,Centre-Forward,Nigeria,20/21,€40.00m,€75.00m,LOSC Lille,SSC Napoli,Ligue 1,Serie A,First Tier,First Tier,21 years 08 months 03 days,03 Years 09 Months 29 Days
Rúben Dias,Centre-Back,Portugal,20/21,€35.00m,€71.60m,SL Benfica,Manchester City,Liga NOS,Premier League,First Tier,First Tier,23 years 04 months 15 days,03 Years 09 Months 01 Days
Miralem Pjanic,Central Midfield,Bosnia-Herzegovina,20/21,€45.00m,€60.00m,Juventus FC,FC Barcelona,Serie A,LaLiga,First Tier,First Tier,30 years 04 months 30 days,02 Years 09 Months 29 Days
Timo Werner,Centre-Forward,Germany,20/21,€64.00m,€53.00m,RB Leipzig,Chelsea FC,Bundesliga,Premier League,First Tier,First Tier,24 years 03 months 25 days,02 Years 11 Months 30 Days
Ben Chilwell,Left-Back,England,20/21,€40.00m,€50.20m,Leicester City,Chelsea FC,Premier League,Premier League,First Tier,First Tier,23 years 08 months 05 days,03 Years 10 Months 04 Days
Mauro Icardi,Centre-Forward,Argentina,20/21,€60.00m,€50.00m,Inter Milan,Paris Saint-Germain,Serie A,Ligue 1,First Tier,First Tier,27 years 04 months 12 days,01 Years 11 Months 30 Days
Thomas Partey,Defensive Midfield,Ghana,20/21,€40.00m,€50.00m,Atlético de Madrid,Arsenal FC,LaLiga,Premier League,First Tier,First Tier,27 years 03 months 22 days,02 Years 08 Months 25 Days
Leroy Sané,Right Winger,Germany,20/21,€80.00m,€49.00m,Manchester City,Bayern Munich,Premier League,Bundesliga,First Tier,First Tier,24 years 06 months 04 days,11 Months 15 Days
Nathan Aké,Centre-Back,Netherlands,20/21,€28.00m,€45.30m,AFC Bournemouth,Manchester City,Championship,Premier League,Second Tier,First Tier,25 years 05 months 18 days,01 Years 10 Months 25 Days
Diogo Jota,Left Winger,Portugal,20/21,€28.00m,€44.70m,Wolverhampton Wanderers,Liverpool FC,Premier League,Premier League,First Tier,First Tier,23 years 09 months 15 days,01 Years 09 Months 11 Days
Achraf Hakimi,Right-Back,Morocco,20/21,€54.00m,€43.00m,Real Madrid,Inter Milan,LaLiga,Serie A,First Tier,First Tier,21 years 09 months 28 days,01 Years 09 Months 29 Days
Hakim Ziyech,Right Winger,Morocco,20/21,€40.00m,€40.00m,Ajax Amsterdam,Chelsea FC,Eredivisie,Premier League,First Tier,First Tier,27 years 03 months 12 days,01 Years 11 Months 30 Days
Fábio Silva,Centre-Forward,Portugal,20/21,€12.00m,€40.00m,FC Porto,Wolverhampton Wanderers,Liga NOS,Premier League,First Tier,First Tier,18 years 01 month 17 days,01 Years 09 Months 25 Days
Donny van de Beek,Central Midfield,Netherlands,20/21,€44.00m,€39.00m,Ajax Amsterdam,Manchester United,Eredivisie,Premier League,First Tier,First Tier,23 years 04 months 15 days,01 Years 09 Months 28 Days
Álvaro Morata,Centre-Forward,Spain,20/21,€36.00m,€35.00m,Chelsea FC,Atlético de Madrid,Premier League,LaLiga,First Tier,First Tier,27 years 08 months 08 days,01 Years 11 Months 30 Days
Wesley Fofana,Centre-Back,France,20/21,€10.00m,€35.00m,AS Saint-Étienne,Leicester City,Ligue 1,Premier League,First Tier,First Tier,19 years 09 months 15 days,03 Years 08 Months 28 Days
Ollie Watkins,Centre-Forward,England,20/21,€12.00m,€34.00m,Brentford FC,Aston Villa,Championship,Premier League,Second Tier,First Tier,24 years 08 months 10 days,02 Years 09 Months 21 Days
Darwin Núñez,Centre-Forward,Uruguay,20/21,€10.00m,€34.00m,UD Almería,SL Benfica,LaLiga2,Liga NOS,Second Tier,First Tier,21 years 02 months 11 days,03 Years 09 Months 26 Days
Ferran Torres,Left Winger,Spain,20/21,€45.00m,€33.50m,Valencia CF,Manchester City,LaLiga,Premier League,First Tier,First Tier,20 years 05 months 06 days,10 Months 26 Days
