name,position,country,season,market value,transfer fee,left,joined,old club league,new club league,old club league type,new club league type,age,contract remaining
Yevgen Konoplyanka,Attacking Midfield,Ukraine,17/18,€10.00m,€12.50m,Sevilla FC,FC Schalke 04,LaLiga,Bundesliga,First Tier,First Tier,27 years 09 months 02 days,01 Years 11 Months 30 Days
Hirving Lozano,Right Winger,Mexico,17/18,€10.00m,€12.50m,CF Pachuca,PSV Eindhoven,Liga MX Clausura,Eredivisie,First Tier,First Tier,21 years 11 months 01 day,02 Years 11 Months 30 Days
Sven Bender,Defensive Midfield,Germany,17/18,€7.00m,€12.50m,Borussia Dortmund,Bayer 04 Leverkusen,Bundesliga,Bundesliga,First Tier,First Tier,28 years 02 months 16 days,03 Years 11 Months 17 Days
Mario Hermoso,Centre-Back,Spain,17/18,€400k,€12.50m,Real Madrid Castilla,RCD Espanyol Barcelona,Segunda División B - Grupo I (bis 20/21),LaLiga,Third Tier,First Tier,22 years 24 days,
Yerry Mina,Centre-Back,Colombia,17/18,€9.00m,€12.40m,Sociedade Esportiva Palmeiras,FC Barcelona,Campeonato Brasileiro Série A,LaLiga,First Tier,First Tier,23 years 03 months 19 days,02 Years 03 Months 29 Days
Richarlison,Centre-Forward,Brazil,17/18,€2.00m,€12.40m,Fluminense Football Club,Watford FC,Campeonato Brasileiro Série A,Premier League,First Tier,First Tier,20 years 02 months 29 days,03 Years 04 Months 23 Days
Alex Pritchard,Attacking Midfield,England,17/18,€5.00m,€12.35m,Norwich City,Huddersfield Town,Championship,Premier League,Second Tier,First Tier,24 years 08 months 09 days,02 Years 05 Months 18 Days
Esequiel Barco,Left Winger,Argentina,17/18,€6.50m,€12.28m,CA Independiente,Atlanta United FC,Superliga,Major League Soccer,First Tier,First Tier,18 years 09 months 21 days,01 Years 05 Months 11 Days
Ömer Toprak,Centre-Back,Turkey,17/18,€16.00m,€12.00m,Bayer 04 Leverkusen,Borussia Dortmund,Bundesliga,Bundesliga,First Tier,First Tier,27 years 11 months 10 days,11 Months 30 Days
Mahmoud Dahoud,Central Midfield,Germany,17/18,€15.00m,€12.00m,Borussia Mönchengladbach,Borussia Dortmund,Bundesliga,Bundesliga,First Tier,First Tier,21 years 05 months 30 days,11 Months 30 Days
Gerard Deulofeu,Centre-Forward,Spain,17/18,€12.00m,€12.00m,Everton FC,FC Barcelona,Premier League,LaLiga,First Tier,First Tier,23 years 03 months 18 days,11 Months 30 Days
Pablo Fornals,Attacking Midfield,Spain,17/18,€10.00m,€12.00m,Málaga CF,Villarreal CF,LaLiga,LaLiga,First Tier,First Tier,21 years 05 months 02 days,01 Years 11 Months 06 Days
Marco Benassi,Central Midfield,Italy,17/18,€9.50m,€12.00m,Torino FC,ACF Fiorentina,Serie A,Serie A,First Tier,First Tier,22 years 11 months 01 day,
Mattia De Sciglio,Right-Back,Italy,17/18,€8.50m,€12.00m,AC Milan,Juventus FC,Serie A,Serie A,First Tier,First Tier,24 years 09 months 00 days,11 Months 10 Days
Adrián Ramos,Centre-Forward,Colombia,17/18,€5.00m,€12.00m,Borussia Dortmund,Chongqing Dangdai Lifan,Bundesliga,Chinese Super League,First Tier,First Tier,31 years 05 months 09 days,11 Months 30 Days
Roberto Inglese,Centre-Forward,Italy,17/18,€4.50m,€12.00m,Chievo Verona,SSC Napoli,Serie A,Serie A,First Tier,First Tier,25 years 09 months 19 days,02 Years 09 Months 30 Days
Adam Ounas,Right Winger,Algeria,17/18,€4.00m,€12.00m,FC Girondins Bordeaux,SSC Napoli,Ligue 1,Serie A,First Tier,First Tier,20 years 07 months 23 days,03 Years 11 Months 26 Days
Denis Zakaria,Defensive Midfield,Switzerland,17/18,€4.00m,€12.00m,BSC Young Boys,Borussia Mönchengladbach,Super League,Bundesliga,First Tier,First Tier,20 years 07 months 11 days,02 Years 11 Months 30 Days
Pedro Rocha,Left Winger,Brazil,17/18,€1.50m,€12.00m,Grêmio Foot-Ball Porto Alegrense,Spartak Moscow,Campeonato Brasileiro Série A,Premier Liga,First Tier,First Tier,22 years 11 months 00 days,
Douglas Luiz,Central Midfield,Brazil,17/18,-,€12.00m,Clube de Regatas Vasco da Gama,Manchester City,Campeonato Brasileiro Série A,Premier League,First Tier,First Tier,19 years 02 months 06 days,04 Years 05 Months 16 Days
Jordan Rhodes,Centre-Forward,Scotland,17/18,€10.00m,€11.70m,Middlesbrough FC,Sheffield Wednesday,Championship,Championship,Second Tier,Second Tier,27 years 04 months 26 days,02 Years 11 Months 30 Days
Asmir Begovic,Goalkeeper,Bosnia-Herzegovina,17/18,€8.00m,€11.50m,Chelsea FC,AFC Bournemouth,Premier League,Premier League,First Tier,First Tier,30 years 11 days,01 Years 11 Months 30 Days
Landry Dimata,Centre-Forward,Belgium,17/18,€6.50m,€11.50m,KV Oostende,VfL Wolfsburg,Jupiler Pro League,Bundesliga,First Tier,First Tier,19 years 09 months 30 days,02 Years 11 Months 30 Days
Lucas Pratto,Second Striker,Argentina,17/18,€4.50m,€11.50m,São Paulo Futebol Clube,CA River Plate,Campeonato Brasileiro Série A,Superliga,First Tier,First Tier,29 years 07 months 04 days,03 Years 21 Days
Martin Braithwaite,Centre-Forward,Denmark,17/18,€7.50m,€11.30m,FC Toulouse,Middlesbrough FC,Ligue 1,Championship,First Tier,Second Tier,26 years 01 month 08 days,01 Years 11 Months 17 Days
Jacob Murphy,Right Winger,England,17/18,€1.00m,€11.30m,Norwich City,Newcastle United,Championship,Premier League,Second Tier,First Tier,22 years 04 months 25 days,
Florian Thauvin,Right Winger,France,17/18,€18.00m,€11.00m,Newcastle United,Olympique Marseille,Premier League,Ligue 1,First Tier,First Tier,24 years 05 months 05 days,02 Years 11 Months 30 Days
Gabriel Paulista,Centre-Back,Brazil,17/18,€13.00m,€11.00m,Arsenal FC,Valencia CF,Premier League,LaLiga,First Tier,First Tier,26 years 08 months 23 days,01 Years 10 Months 12 Days
Martin Terrier,Left Winger,France,17/18,€12.00m,€11.00m,LOSC Lille,Olympique Lyon,Ligue 1,Ligue 1,First Tier,First Tier,20 years 10 months 22 days,01 Years 05 Months 04 Days
Guilherme Arana,Left-Back,Brazil,17/18,€10.00m,€11.00m,Sport Club Corinthians Paulista,Sevilla FC,Campeonato Brasileiro Série A,LaLiga,First Tier,First Tier,20 years 08 months 18 days,01 Years 11 Months 29 Days
Jonathan Viera,Attacking Midfield,Spain,17/18,€8.00m,€11.00m,UD Las Palmas,Beijing Guoan,LaLiga,Chinese Super League,First Tier,First Tier,28 years 03 months 29 days,03 Years 04 Months 11 Days
Diego Llorente,Centre-Back,Spain,17/18,€7.50m,€11.00m,Real Madrid,Real Sociedad,LaLiga,LaLiga,First Tier,First Tier,23 years 10 months 15 days,02 Years 11 Months 30 Days
Jô,Centre-Forward,Brazil,17/18,€4.00m,€11.00m,Sport Club Corinthians Paulista,Nagoya Grampus,Campeonato Brasileiro Série A,J1 League,First Tier,First Tier,30 years 09 months 17 days,01 Years 11 Months 25 Days
Nikola Vlasic,Attacking Midfield,Croatia,17/18,€4.00m,€10.80m,HNK Hajduk Split,Everton FC,1.HNL,Premier League,First Tier,First Tier,19 years 10 months 27 days,09 Months 30 Days
Marc Bartra,Centre-Back,Spain,17/18,€15.00m,€10.50m,Borussia Dortmund,Real Betis Balompié,Bundesliga,LaLiga,First Tier,First Tier,27 years 15 days,02 Years 05 Months 00 Days
Stevan Jovetic,Centre-Forward,Montenegro,17/18,€10.00m,€10.50m,Inter Milan,AS Monaco,Serie A,Ligue 1,First Tier,First Tier,27 years 09 months 27 days,01 Years 10 Months 01 Days
Juan Foyth,Right-Back,Argentina,17/18,€5.00m,€10.50m,Club Estudiantes de La Plata,Tottenham Hotspur,Superliga,Premier League,First Tier,First Tier,19 years 07 months 18 days,
Luiz Araújo,Right Winger,Brazil,17/18,€500k,€10.50m,São Paulo Futebol Clube,LOSC Lille,Campeonato Brasileiro Série A,Ligue 1,First Tier,First Tier,21 years 29 days,04 Years 06 Months 00 Days
Jordan Hugill,Centre-Forward,England,17/18,€3.00m,€10.20m,Preston North End,West Ham United,Championship,Premier League,Second Tier,First Tier,25 years 07 months 27 days,
Luiz Gustavo,Defensive Midfield,Brazil,17/18,€12.00m,€10.00m,VfL Wolfsburg,Olympique Marseille,Bundesliga,Ligue 1,First Tier,First Tier,29 years 11 months 11 days,11 Months 26 Days
Lorenzo Pellegrini,Attacking Midfield,Italy,17/18,€12.00m,€10.00m,US Sassuolo,AS Roma,Serie A,Serie A,First Tier,First Tier,21 years 12 days,02 Years 11 Months 30 Days
Younès Belhanda,Attacking Midfield,Morocco,17/18,€9.00m,€10.00m,Dynamo Kyiv,Galatasaray,Premier Liga,Süper Lig,First Tier,First Tier,27 years 04 months 08 days,11 Months 27 Days
Diafra Sakho,Centre-Forward,Senegal,17/18,€8.00m,€10.00m,West Ham United,Stade Rennais FC,Premier League,Ligue 1,First Tier,First Tier,28 years 01 month 05 days,05 Months 01 Days
Bertrand Traoré,Right Winger,Burkina Faso,17/18,€8.00m,€10.00m,Chelsea FC,Olympique Lyon,Premier League,Ligue 1,First Tier,First Tier,21 years 09 months 25 days,01 Years 11 Months 30 Days
Florian Lejeune,Centre-Back,France,17/18,€5.00m,€10.00m,SD Eibar,Newcastle United,LaLiga,Premier League,First Tier,First Tier,26 years 01 month 14 days,02 Years 11 Months 26 Days
Maximiliano Romero,Centre-Forward,Argentina,17/18,€4.00m,€10.00m,CA Vélez Sarsfield,PSV Eindhoven,Superliga,Eredivisie,First Tier,First Tier,18 years 11 months 23 days,01 Years 05 Months 29 Days
Loïs Diony,Centre-Forward,France,17/18,€3.00m,€10.00m,Dijon FCO,AS Saint-Étienne,Ligue 1,Ligue 1,First Tier,First Tier,24 years 06 months 17 days,01 Years 11 Months 23 Days
Allan Saint-Maximin,Left Winger,France,17/18,€3.00m,€10.00m,AS Monaco,OGC Nice,Ligue 1,Ligue 1,First Tier,First Tier,20 years 04 months 26 days,02 Years 10 Months 23 Days
Adama Diakhaby,Left Winger,France,17/18,€1.50m,€10.00m,Stade Rennais FC,AS Monaco,Ligue 1,Ligue 1,First Tier,First Tier,21 years 28 days,01 Years 10 Months 28 Days
Pape Cheikh,Central Midfield,Senegal,17/18,€800k,€10.00m,Celta de Vigo,Olympique Lyon,LaLiga,Ligue 1,First Tier,First Tier,20 years 21 days,02 Years 10 Months 01 Days
Leonardo Pavoletti,Centre-Forward,Italy,17/18,€11.00m,€9.80m,SSC Napoli,Cagliari Calcio,Serie A,Serie A,First Tier,First Tier,28 years 09 months 04 days,03 Years 10 Months 00 Days
Bruno Fernandes,Attacking Midfield,Portugal,17/18,€7.50m,€9.70m,UC Sampdoria,Sporting CP,Serie A,Liga NOS,First Tier,First Tier,22 years 09 months 24 days,
Marcos Acuña,Left-Back,Argentina,17/18,€7.00m,€9.59m,Racing Club,Sporting CP,Superliga,Liga NOS,First Tier,First Tier,25 years 08 months 23 days,01 Years 05 Months 10 Days
Facundo Colidio,Centre-Forward,Argentina,17/18,-,€9.50m,CA Boca Juniors U20,Inter Milan Primavera,-,Primavera 1,-,Youth league,17 years 08 months 16 days,
Tom Cleverley,Central Midfield,England,17/18,€8.00m,€9.30m,Everton FC,Watford FC,Premier League,Premier League,First Tier,First Tier,27 years 10 months 19 days,02 Years 11 Months 30 Days
Will Hughes,Central Midfield,England,17/18,€8.00m,€9.10m,Derby County,Watford FC,Championship,Premier League,Second Tier,First Tier,22 years 02 months 14 days,02 Years 11 Months 30 Days
Tom Ince,Right Winger,England,17/18,€7.00m,€9.10m,Derby County,Huddersfield Town,Championship,Premier League,Second Tier,First Tier,25 years 05 months 04 days,01 Years 11 Months 26 Days
Jack Cork,Defensive Midfield,England,17/18,€5.00m,€9.10m,Swansea City,Burnley FC,Premier League,Premier League,First Tier,First Tier,28 years 16 days,11 Months 19 Days
Aaron Mooy,Central Midfield,Australia,17/18,€5.00m,€9.10m,Manchester City,Huddersfield Town,Premier League,Premier League,First Tier,First Tier,26 years 09 months 16 days,
Jonathas,Centre-Forward,Brazil,17/18,€7.00m,€9.00m,Rubin Kazan,Hannover 96,Premier Liga,Bundesliga,First Tier,First Tier,28 years 05 months 16 days,01 Years 10 Months 08 Days
Emiliano Rigoni,Right Winger,Argentina,17/18,€7.00m,€9.00m,CA Independiente,Zenit St. Petersburg,Superliga,Premier Liga,First Tier,First Tier,24 years 06 months 19 days,01 Years 10 Months 07 Days
Andrew Robertson,Left-Back,Scotland,17/18,€7.00m,€9.00m,Hull City,Liverpool FC,Championship,Premier League,Second Tier,First Tier,23 years 04 months 10 days,11 Months 09 Days
Jairo Riedewald,Defensive Midfield,Netherlands,17/18,€5.00m,€9.00m,Ajax Amsterdam,Crystal Palace,Eredivisie,Premier League,First Tier,First Tier,20 years 10 months 15 days,02 Years 11 Months 06 Days
Thiago Mendes,Defensive Midfield,Brazil,17/18,€4.00m,€9.00m,São Paulo Futebol Clube,LOSC Lille,Campeonato Brasileiro Série A,Ligue 1,First Tier,First Tier,25 years 03 months 16 days,02 Years 06 Months 00 Days
Kévin Malcuit,Right-Back,France,17/18,€3.00m,€9.00m,AS Saint-Étienne,LOSC Lille,Ligue 1,Ligue 1,First Tier,First Tier,25 years 11 months 07 days,01 Years 11 Months 22 Days
Nicola Murru,Left-Back,Italy,17/18,€2.50m,€9.00m,Cagliari Calcio,UC Sampdoria,Serie A,Serie A,First Tier,First Tier,22 years 06 months 15 days,
Alexander Sørloth,Centre-Forward,Norway,17/18,€2.00m,€9.00m,FC Midtjylland,Crystal Palace,Superligaen Meisterrunde,Premier League,Play-Offs,First Tier,22 years 01 month 26 days,03 Years 04 Months 30 Days
Huan Liu,Left-Back,China,17/18,€200k,€8.90m,Chongqing Dangdai Lifan,Beijing Guoan,Chinese Super League,Chinese Super League,First Tier,First Tier,28 years 10 months 18 days,11 Months 29 Days
Guido Pizarro,Defensive Midfield,Argentina,17/18,€5.00m,€8.70m,Tigres UANL,Sevilla FC,Liga MX Clausura,LaLiga,First Tier,First Tier,27 years 04 months 12 days,01 Years 11 Months 22 Days
Renato Sanches,Central Midfield,Portugal,17/18,€22.00m,Loan fee:€8.50m,Bayern Munich,Swansea City,Bundesliga,Premier League,First Tier,First Tier,20 years 13 days,03 Years 09 Months 30 Days
Adnan Januzaj,Right Winger,Belgium,17/18,€7.00m,€8.50m,Manchester United,Real Sociedad,Premier League,LaLiga,First Tier,First Tier,22 years 05 months 07 days,11 Months 18 Days
Matías Kranevitter,Defensive Midfield,Argentina,17/18,€6.00m,€8.50m,Atlético de Madrid,Zenit St. Petersburg,LaLiga,Premier Liga,First Tier,First Tier,24 years 02 months 18 days,02 Years 10 Months 22 Days
Milot Rashica,Right Winger,Kosovo,17/18,€5.00m,€8.10m,Vitesse Arnhem,SV Werder Bremen,Eredivisie,Bundesliga,First Tier,First Tier,21 years 07 months 03 days,02 Years 04 Months 30 Days
Serge Gnabry,Right Winger,Germany,17/18,€15.00m,€8.00m,SV Werder Bremen,Bayern Munich,Bundesliga,Bundesliga,First Tier,First Tier,21 years 11 months 17 days,02 Years 11 Months 30 Days
Valère Germain,Centre-Forward,France,17/18,€10.00m,€8.00m,AS Monaco,Olympique Marseille,Ligue 1,Ligue 1,First Tier,First Tier,27 years 02 months 14 days,11 Months 30 Days
Maicon,Centre-Back,Brazil,17/18,€8.00m,€8.00m,São Paulo Futebol Clube,Galatasaray,Campeonato Brasileiro Série A,Süper Lig,First Tier,First Tier,28 years 09 months 17 days,02 Years 11 Months 30 Days
Juan Jesus,Centre-Back,Brazil,17/18,€7.50m,€8.00m,Inter Milan,AS Roma,Serie A,Serie A,First Tier,First Tier,26 years 21 days,11 Months 30 Days
Sofiane Hanni,Attacking Midfield,Algeria,17/18,€7.00m,€8.00m,RSC Anderlecht,Spartak Moscow,Jupiler Pro League,Premier Liga,First Tier,First Tier,27 years 01 month 02 days,04 Years 04 Months 30 Days
Soualiho Meïté,Central Midfield,France,17/18,€7.00m,€8.00m,SV Zulte Waregem,AS Monaco,Jupiler Pro League,Ligue 1,First Tier,First Tier,23 years 03 months 15 days,
Henry Onyekuru,Left Winger,Nigeria,17/18,€7.00m,€8.00m,KAS Eupen,Everton FC,Jupiler Pro League,Premier League,First Tier,First Tier,20 years 26 days,02 Years 11 Months 30 Days
Davie Selke,Centre-Forward,Germany,17/18,€6.00m,€8.00m,RB Leipzig,Hertha BSC,Bundesliga,Bundesliga,First Tier,First Tier,22 years 05 months 11 days,02 Years 11 Months 30 Days
Vitor Hugo,Centre-Back,Brazil,17/18,€6.00m,€8.00m,Sociedade Esportiva Palmeiras,ACF Fiorentina,Campeonato Brasileiro Série A,Serie A,First Tier,First Tier,26 years 01 month 11 days,03 Years 02 Months 00 Days
Nicolas de Préville,Centre-Forward,France,17/18,€5.50m,€8.00m,LOSC Lille,FC Girondins Bordeaux,Ligue 1,Ligue 1,First Tier,First Tier,26 years 07 months 23 days,
Gustavo Bou,Centre-Forward,Argentina,17/18,€5.50m,€8.00m,Racing Club,Club Tijuana,Superliga,Liga MX Clausura,First Tier,First Tier,27 years 04 months 13 days,
Havard Nordtveit,Centre-Back,Norway,17/18,€5.00m,€8.00m,West Ham United,TSG 1899 Hoffenheim,Premier League,Bundesliga,First Tier,First Tier,27 years 10 days,03 Years 11 Months 30 Days
Mariano Díaz,Centre-Forward,Dominican Republic,17/18,€5.00m,€8.00m,Real Madrid,Olympique Lyon,LaLiga,Ligue 1,First Tier,First Tier,23 years 10 months 30 days,03 Years 11 Months 30 Days
Miha Mevlja,Centre-Back,Slovenia,17/18,€4.00m,€8.00m,FK Rostov,Zenit St. Petersburg,Premier Liga,Premier Liga,First Tier,First Tier,27 years 02 months 19 days,01 Years 09 Months 30 Days
Admir Mehmedi,Second Striker,Switzerland,17/18,€3.50m,€8.00m,Bayer 04 Leverkusen,VfL Wolfsburg,Bundesliga,Bundesliga,First Tier,First Tier,26 years 10 months 15 days,01 Years 04 Months 30 Days
Wanderson,Left Winger,Brazil,17/18,€2.75m,€8.00m,Red Bull Salzburg,FK Krasnodar,Bundesliga,Premier Liga,First Tier,First Tier,22 years 08 months 24 days,01 Years 11 Months 30 Days
Amine Harit,Attacking Midfield,Morocco,17/18,€2.00m,€8.00m,FC Nantes,FC Schalke 04,Ligue 1,Bundesliga,First Tier,First Tier,20 years 22 days,02 Years 11 Months 20 Days
Rafik Guitane,Attacking Midfield,France,17/18,€150k,€8.00m,AC Le Havre,Stade Rennais FC,Ligue 2,Ligue 1,Second Tier,First Tier,18 years 08 months 05 days,01 Years 04 Months 30 Days
Kurt Zouma,Centre-Back,France,17/18,€15.00m,Loan fee:€7.80m,Chelsea FC,Stoke City,Premier League,Premier League,First Tier,First Tier,22 years 08 months 24 days,05 Years 11 Months 09 Days
Lyanco,Centre-Back,Brazil,17/18,€750k,€7.75m,São Paulo Futebol Clube,Torino FC,Campeonato Brasileiro Série A,Serie A,First Tier,First Tier,20 years 04 months 30 days,01 Years 06 Months 00 Days
Bruno Martins Indi,Centre-Back,Netherlands,17/18,€11.00m,€7.70m,FC Porto,Stoke City,Liga NOS,Premier League,First Tier,First Tier,25 years 06 months 02 days,10 Months 20 Days
Kieran Gibbs,Left-Back,England,17/18,€10.00m,€7.50m,Arsenal FC,West Bromwich Albion,Premier League,Premier League,First Tier,First Tier,27 years 11 months 04 days,
Jonathan Cafu,Right Winger,Brazil,17/18,€10.00m,€7.50m,Ludogorets Razgrad,FC Girondins Bordeaux,Efbet liga - Championship group,Ligue 1,Play-Offs,First Tier,26 years 27 days,10 Months 24 Days
Wendel,Central Midfield,Brazil,17/18,€7.50m,€7.50m,Fluminense Football Club,Sporting CP,Campeonato Brasileiro Série A,Liga NOS,First Tier,First Tier,20 years 04 months 09 days,02 Years 09 Months 23 Days
Marcelo,Centre-Back,Brazil,17/18,€6.50m,€7.50m,Besiktas JK,Olympique Lyon,Süper Lig,Ligue 1,First Tier,First Tier,30 years 01 month 23 days,11 Months 17 Days
Christian Atsu,Left Winger,Ghana,17/18,€5.00m,€7.50m,Chelsea FC,Newcastle United,Premier League,Premier League,First Tier,First Tier,25 years 05 months 21 days,11 Months 30 Days
Badou Ndiaye,Central Midfield,Senegal,17/18,€5.00m,€7.50m,Osmanlispor FK,Galatasaray,Süper Lig,Süper Lig,First Tier,First Tier,26 years 09 months 07 days,02 Years 10 Months 27 Days
Sone Aluko,Right Winger,Nigeria,17/18,€2.50m,€7.50m,Fulham FC,Reading FC,Championship,Championship,Second Tier,Second Tier,28 years 06 months 11 days,10 Months 00 Days
Maximilian Wöber,Centre-Back,Austria,17/18,€700k,€7.50m,Rapid Vienna,Ajax Amsterdam,Bundesliga,Eredivisie,First Tier,First Tier,19 years 06 months 20 days,01 Years 10 Months 06 Days
Pedro Neto,Right Winger,Portugal,17/18,€250k,Loan fee:€7.50m,SC Braga,SS Lazio,Liga NOS,Serie A,First Tier,First Tier,17 years 05 months 22 days,02 Years 09 Months 30 Days
Filippo Romagna,Centre-Back,Italy,17/18,€1.00m,€7.40m,Juventus FC,Cagliari Calcio,Serie A,Serie A,First Tier,First Tier,20 years 02 months 02 days,01 Years 11 Months 02 Days
Ashley Fletcher,Centre-Forward,England,17/18,€1.00m,€7.30m,West Ham United,Middlesbrough FC,Premier League,Championship,First Tier,Second Tier,21 years 09 months 26 days,02 Years 11 Months 02 Days
Ollie Watkins,Centre-Forward,England,17/18,€150k,€7.22m,Exeter City,Brentford FC,League Two,Championship,Fourth Tier,Second Tier,21 years 06 months 18 days,
Yuning Zhang,Centre-Forward,China,17/18,€700k,€7.20m,Vitesse Arnhem,West Bromwich Albion,Eredivisie,Premier League,First Tier,First Tier,20 years 05 months 28 days,11 Months 27 Days
Avilés Hurtado,Right Winger,Colombia,17/18,€2.50m,€7.13m,Club Tijuana,CF Monterrey,Liga MX Clausura,Liga MX Clausura,First Tier,First Tier,30 years 02 months 11 days,
Éver Banega,Central Midfield,Argentina,17/18,€16.00m,€7.00m,Inter Milan,Sevilla FC,Serie A,LaLiga,First Tier,First Tier,29 years 04 days,01 Years 11 Months 27 Days
Nolito,Left Winger,Spain,17/18,€12.00m,€7.00m,Manchester City,Sevilla FC,Premier League,LaLiga,First Tier,First Tier,30 years 09 months 01 day,02 Years 11 Months 14 Days
Ryad Boudebouz,Attacking Midfield,Algeria,17/18,€10.00m,€7.00m,Montpellier HSC,Real Betis Balompié,Ligue 1,LaLiga,First Tier,First Tier,27 years 05 months 21 days,01 Years 10 Months 21 Days
Giuliano,Attacking Midfield,Brazil,17/18,€9.00m,€7.00m,Zenit St. Petersburg,Fenerbahce,Premier Liga,Süper Lig,First Tier,First Tier,27 years 02 months 14 days,02 Years 10 Months 16 Days
Kylian Mbappé,Centre-Forward,France,18/19,€120.00m,€180.00m,AS Monaco,Paris Saint-Germain,Ligue 1,Ligue 1,First Tier,First Tier,19 years 06 months 11 days,11 Months 30 Days
Cristiano Ronaldo,Centre-Forward,Portugal,18/19,€100.00m,€117.00m,Real Madrid,Juventus FC,LaLiga,Serie A,First Tier,First Tier,33 years 05 months 05 days,02 Years 11 Months 20 Days
Kepa Arrizabalaga,Goalkeeper,Spain,18/19,€20.00m,€80.00m,Athletic Bilbao,Chelsea FC,LaLiga,Premier League,First Tier,First Tier,23 years 10 months 05 days,06 Years 10 Months 22 Days
Thomas Lemar,Attacking Midfield,France,18/19,€65.00m,€72.00m,AS Monaco,Atlético de Madrid,Ligue 1,LaLiga,First Tier,First Tier,22 years 07 months 19 days,01 Years 11 Months 30 Days
Riyad Mahrez,Right Winger,Algeria,18/19,€50.00m,€67.80m,Leicester City,Manchester City,Premier League,Premier League,First Tier,First Tier,27 years 04 months 19 days,01 Years 11 Months 20 Days
Christian Pulisic,Right Winger,United States,18/19,€50.00m,€64.00m,Borussia Dortmund,Chelsea FC,Bundesliga,Premier League,First Tier,First Tier,20 years 03 months 15 days,01 Years 05 Months 28 Days
Alisson,Goalkeeper,Brazil,18/19,€60.00m,€62.50m,AS Roma,Liverpool FC,Serie A,Premier League,First Tier,First Tier,25 years 09 months 17 days,02 Years 11 Months 11 Days
Naby Keïta,Central Midfield,Guinea,18/19,€65.00m,€60.00m,RB Leipzig,Liverpool FC,Bundesliga,Premier League,First Tier,First Tier,23 years 04 months 21 days,01 Years 11 Months 30 Days
Fred,Central Midfield,Brazil,18/19,€32.00m,€59.00m,Shakhtar Donetsk,Manchester United,Premier Liga,Premier League,First Tier,First Tier,25 years 03 months 26 days,04 Years 11 Months 30 Days
Jorginho,Defensive Midfield,Italy,18/19,€50.00m,€57.00m,SSC Napoli,Chelsea FC,Serie A,Premier League,First Tier,First Tier,26 years 06 months 24 days,01 Years 11 Months 16 Days
Fabinho,Defensive Midfield,Brazil,18/19,€45.00m,€45.00m,AS Monaco,Liverpool FC,Ligue 1,Premier League,First Tier,First Tier,24 years 08 months 08 days,02 Years 11 Months 30 Days
Vinicius Junior,Left Winger,Brazil,18/19,€35.00m,€45.00m,CR Flamengo,Real Madrid,Campeonato Brasileiro Série A,LaLiga,First Tier,First Tier,18 years 00 days,01 Years 19 Days
Paulinho,Central Midfield,Brazil,18/19,€38.00m,€42.00m,FC Barcelona,Guangzhou Evergrande Taobao,LaLiga,Chinese Super League,First Tier,First Tier,30 years 05 months 07 days,02 Years 05 Months 29 Days
Patrik Schick,Centre-Forward,Czech Republic,18/19,€20.00m,€42.00m,UC Sampdoria,AS Roma,Serie A,Serie A,First Tier,First Tier,22 years 05 months 07 days,01 Years 11 Months 30 Days
Malcom,Right Winger,Brazil,18/19,€45.00m,€41.00m,FC Girondins Bordeaux,FC Barcelona,Ligue 1,LaLiga,First Tier,First Tier,21 years 04 months 28 days,02 Years 11 Months 06 Days
João Cancelo,Right-Back,Portugal,18/19,€35.00m,€40.40m,Valencia CF,Juventus FC,LaLiga,Serie A,First Tier,First Tier,24 years 01 month 04 days,02 Years 11 Months 30 Days
Douglas Costa,Right Winger,Brazil,18/19,€55.00m,€40.00m,Bayern Munich,Juventus FC,Bundesliga,Serie A,First Tier,First Tier,27 years 09 months 17 days,01 Years 11 Months 30 Days
Gonçalo Guedes,Second Striker,Portugal,18/19,€40.00m,€40.00m,Paris Saint-Germain,Valencia CF,Ligue 1,LaLiga,First Tier,First Tier,21 years 08 months 29 days,02 Years 10 Months 03 Days
Leandro Paredes,Defensive Midfield,Argentina,18/19,€25.00m,€40.00m,Zenit St. Petersburg,Paris Saint-Germain,Premier Liga,Ligue 1,First Tier,First Tier,24 years 07 months 00 days,02 Years 05 Months 01 Days
Richarlison,Centre-Forward,Brazil,18/19,€25.00m,€39.20m,Watford FC,Everton FC,Premier League,Premier League,First Tier,First Tier,21 years 02 months 14 days,03 Years 11 Months 06 Days
Lucas Paquetá,Attacking Midfield,Brazil,18/19,€15.00m,€38.40m,CR Flamengo,AC Milan,Campeonato Brasileiro Série A,Serie A,First Tier,First Tier,21 years 04 months 07 days,01 Years 11 Months 28 Days
Radja Nainggolan,Central Midfield,Belgium,18/19,€45.00m,€38.00m,AS Roma,Inter Milan,Serie A,Serie A,First Tier,First Tier,30 years 01 month 27 days,02 Years 11 Months 30 Days
Felipe Anderson,Right Winger,Brazil,18/19,€30.00m,€38.00m,SS Lazio,West Ham United,Serie A,Premier League,First Tier,First Tier,25 years 03 months 00 days,01 Years 11 Months 15 Days
Mattia Caldara,Centre-Back,Italy,18/19,€25.00m,€37.74m,Juventus FC,AC Milan,Serie A,Serie A,First Tier,First Tier,24 years 02 months 28 days,03 Years 10 Months 28 Days
Thilo Kehrer,Centre-Back,Germany,18/19,€18.00m,€37.00m,FC Schalke 04,Paris Saint-Germain,Bundesliga,Ligue 1,First Tier,First Tier,21 years 10 months 26 days,10 Months 14 Days
